FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,MONTH,DAY_OF_WEEK,HOUR,ROUTE
2022-07-22,UNITED AIR LINES INC.,United Air Lines Inc.: UA,UA,19977.0,459.0,DEN,"Denver, CO",MSP,"Minneapolis, MN",954.0,1900-01-01 10:00:00,6.0,20.0,1020.0,1247.0,5.0,1252.0,1252.0,0.0,0.0,Not Cancelled,0.0,118.0,112.0,87.0,680.0,0.0,0.0,0.0,0.0,0.0,7,4,10.0,DEN-MSP
2019-07-31,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,665.0,DAL,"Dallas, TX",OKC,"Oklahoma City, OK",1010.0,1900-01-01 12:37:00,147.0,15.0,1252.0,1328.0,3.0,1110.0,1331.0,141.0,0.0,Not Cancelled,0.0,60.0,54.0,36.0,181.0,141.0,0.0,0.0,0.0,0.0,7,2,12.0,DAL-OKC
2021-06-11,DELTA AIR LINES INC.,Delta Air Lines Inc.: DL,DL,19790.0,2820.0,ATL,"Atlanta, GA",BDL,"Hartford, CT",1850.0,1900-01-01 19:59:00,69.0,14.0,2013.0,2208.0,4.0,2112.0,2212.0,60.0,0.0,Not Cancelled,0.0,142.0,133.0,115.0,859.0,60.0,0.0,0.0,0.0,0.0,6,4,19.0,ATL-BDL
2021-08-05,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,430.0,MDW,"Chicago, IL",BNA,"Nashville, TN",820.0,1900-01-01 08:26:00,6.0,10.0,836.0,935.0,6.0,940.0,941.0,1.0,0.0,Not Cancelled,0.0,80.0,75.0,59.0,395.0,0.0,0.0,0.0,0.0,0.0,8,3,8.0,MDW-BNA
2022-05-01,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,1011.0,BWI,"Baltimore, MD",BDL,"Hartford, CT",1735.0,1900-01-01 17:38:00,3.0,12.0,1750.0,1843.0,3.0,1840.0,1846.0,6.0,0.0,Not Cancelled,0.0,65.0,68.0,53.0,283.0,0.0,0.0,0.0,0.0,0.0,5,6,17.0,BWI-BDL
2019-01-27,SPIRIT AIR LINES,Spirit Air Lines: NK,NK,20416.0,262.0,FLL,"Fort Lauderdale, FL",ACY,"Atlantic City, NJ",1430.0,1900-01-01 14:43:00,13.0,28.0,1511.0,1706.0,5.0,1700.0,1711.0,11.0,0.0,Not Cancelled,0.0,150.0,148.0,115.0,977.0,0.0,0.0,0.0,0.0,0.0,1,6,14.0,FLL-ACY
2022-09-06,AMERICAN AIRLINES INC.,American Airlines Inc.: AA,AA,19805.0,1754.0,DFW,"Dallas/Fort Worth, TX",PNS,"Pensacola, FL",830.0,1900-01-01 08:30:00,0.0,19.0,849.0,1016.0,4.0,1014.0,1020.0,6.0,0.0,Not Cancelled,0.0,104.0,110.0,87.0,604.0,0.0,0.0,0.0,0.0,0.0,9,1,8.0,DFW-PNS
2021-07-04,ALLEGIANT AIR,Allegiant Air: G4,G4,20368.0,46.0,LAS,"Las Vegas, NV",GEG,"Spokane, WA",625.0,1900-01-01 06:39:00,14.0,28.0,707.0,854.0,4.0,833.0,858.0,25.0,0.0,Not Cancelled,0.0,128.0,139.0,107.0,806.0,0.0,0.0,25.0,0.0,0.0,7,6,6.0,LAS-GEG
2023-04-15,REPUBLIC AIRLINE,Republic Airline: YX,YX,20452.0,3615.0,MSP,"Minneapolis, MN",EWR,"Newark, NJ",1325.0,1900-01-01 07:14:00,1069.0,55.0,809.0,1134.0,33.0,1723.0,1207.0,1124.0,0.0,Not Cancelled,0.0,178.0,233.0,145.0,1008.0,0.0,0.0,1124.0,0.0,0.0,4,5,7.0,MSP-EWR
2021-12-28,SKYWEST AIRLINES INC.,SkyWest Airlines Inc.: OO,OO,20304.0,5311.0,IAH,"Houston, TX",BOI,"Boise, ID",1805.0,1900-01-01 18:35:00,30.0,16.0,1851.0,2121.0,3.0,2110.0,2124.0,14.0,0.0,Not Cancelled,0.0,245.0,229.0,210.0,1482.0,0.0,0.0,0.0,0.0,0.0,12,1,18.0,IAH-BOI
2019-07-18,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,992.0,IND,"Indianapolis, IN",TPA,"Tampa, FL",2135.0,1900-01-01 22:54:00,79.0,6.0,2300.0,44.0,3.0,2350.0,47.0,57.0,0.0,Not Cancelled,0.0,135.0,113.0,104.0,837.0,57.0,0.0,0.0,0.0,0.0,7,3,22.0,IND-TPA
2023-01-16,SKYWEST AIRLINES INC.,SkyWest Airlines Inc.: OO,OO,20304.0,5762.0,DEN,"Denver, CO",SLC,"Salt Lake City, UT",1720.0,1900-01-01 17:25:00,5.0,23.0,1748.0,1902.0,7.0,1907.0,1909.0,2.0,0.0,Not Cancelled,0.0,107.0,104.0,74.0,391.0,0.0,0.0,0.0,0.0,0.0,1,0,17.0,DEN-SLC
2019-01-07,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,397.0,SAT,"San Antonio, TX",DAL,"Dallas, TX",1350.0,1900-01-01 14:01:00,11.0,6.0,1407.0,1452.0,3.0,1455.0,1455.0,0.0,0.0,Not Cancelled,0.0,65.0,54.0,45.0,248.0,0.0,0.0,0.0,0.0,0.0,1,0,14.0,SAT-DAL
2019-05-25,REPUBLIC AIRLINE,Republic Airline: YX,YX,20452.0,3604.0,MSY,"New Orleans, LA",EWR,"Newark, NJ",1330.0,1900-01-01 14:16:00,46.0,11.0,1427.0,1800.0,9.0,1740.0,1809.0,29.0,0.0,Not Cancelled,0.0,190.0,173.0,153.0,1167.0,0.0,0.0,13.0,0.0,16.0,5,5,14.0,MSY-EWR
2019-02-27,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,760.0,MDW,"Chicago, IL",MHT,"Manchester, NH",2120.0,1900-01-01 22:03:00,43.0,15.0,2218.0,52.0,4.0,25.0,56.0,31.0,0.0,Not Cancelled,0.0,125.0,113.0,94.0,838.0,31.0,0.0,0.0,0.0,0.0,2,2,22.0,MDW-MHT
2019-02-11,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,1721.0,SFO,"San Francisco, CA",SAN,"San Diego, CA",1115.0,1900-01-01 12:26:00,71.0,19.0,1245.0,1348.0,16.0,1250.0,1404.0,74.0,0.0,Not Cancelled,0.0,95.0,98.0,63.0,447.0,71.0,0.0,3.0,0.0,0.0,2,0,12.0,SFO-SAN
2021-06-26,ALASKA AIRLINES INC.,Alaska Airlines Inc.: AS,AS,19930.0,1014.0,SEA,"Seattle, WA",ORD,"Chicago, IL",1033.0,1900-01-01 10:55:00,22.0,16.0,1111.0,1652.0,7.0,1642.0,1659.0,17.0,0.0,Not Cancelled,0.0,249.0,244.0,221.0,1721.0,0.0,0.0,0.0,0.0,17.0,6,5,10.0,SEA-ORD
2022-11-11,AMERICAN AIRLINES INC.,American Airlines Inc.: AA,AA,19805.0,229.0,PHL,"Philadelphia, PA",SAN,"San Diego, CA",1830.0,1900-01-01 18:48:00,18.0,21.0,1909.0,2120.0,3.0,2123.0,2123.0,0.0,0.0,Not Cancelled,0.0,353.0,335.0,311.0,2370.0,0.0,0.0,0.0,0.0,0.0,11,4,18.0,PHL-SAN
2020-03-17,ENVOY AIR,Envoy Air: MQ,MQ,20398.0,3620.0,GRK,"Killeen, TX",DFW,"Dallas/Fort Worth, TX",1606.0,1900-01-01 16:58:00,52.0,32.0,1730.0,1810.0,20.0,1705.0,1830.0,85.0,0.0,Not Cancelled,0.0,59.0,92.0,40.0,134.0,0.0,0.0,33.0,0.0,52.0,3,1,16.0,GRK-DFW
2022-07-31,ENVOY AIR,Envoy Air: MQ,MQ,20398.0,3831.0,DFW,"Dallas/Fort Worth, TX",SBP,"San Luis Obispo, CA",1908.0,1900-01-01 19:18:00,10.0,17.0,1935.0,2029.0,5.0,2033.0,2034.0,1.0,0.0,Not Cancelled,0.0,205.0,196.0,174.0,1360.0,0.0,0.0,0.0,0.0,0.0,7,6,19.0,DFW-SBP
2023-02-01,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,1854.0,DEN,"Denver, CO",LAS,"Las Vegas, NV",1420.0,1900-01-01 14:44:00,24.0,10.0,1454.0,1517.0,8.0,1515.0,1525.0,10.0,0.0,Not Cancelled,0.0,115.0,101.0,83.0,628.0,0.0,0.0,0.0,0.0,0.0,2,2,14.0,DEN-LAS
2019-12-01,DELTA AIR LINES INC.,Delta Air Lines Inc.: DL,DL,19790.0,1950.0,MCO,"Orlando, FL",LGA,"New York, NY",800.0,1900-01-01 08:23:00,23.0,25.0,848.0,1048.0,7.0,1035.0,1055.0,20.0,0.0,Not Cancelled,0.0,155.0,152.0,120.0,950.0,20.0,0.0,0.0,0.0,0.0,12,6,8.0,MCO-LGA
2021-12-29,DELTA AIR LINES INC.,Delta Air Lines Inc.: DL,DL,19790.0,1277.0,DFW,"Dallas/Fort Worth, TX",ATL,"Atlanta, GA",1233.0,1900-01-01 13:05:00,32.0,13.0,1318.0,1548.0,10.0,1540.0,1558.0,18.0,0.0,Not Cancelled,0.0,127.0,113.0,90.0,731.0,0.0,0.0,0.0,0.0,18.0,12,2,13.0,DFW-ATL
2022-10-14,AMERICAN AIRLINES INC.,American Airlines Inc.: AA,AA,19805.0,1640.0,ORD,"Chicago, IL",LAX,"Los Angeles, CA",1841.0,1900-01-01 18:51:00,10.0,19.0,1910.0,2100.0,5.0,2105.0,2105.0,0.0,0.0,Not Cancelled,0.0,264.0,254.0,230.0,1744.0,0.0,0.0,0.0,0.0,0.0,10,4,18.0,ORD-LAX
2023-01-30,SPIRIT AIR LINES,Spirit Air Lines: NK,NK,20416.0,867.0,DFW,"Dallas/Fort Worth, TX",LAX,"Los Angeles, CA",1640.0,1900-01-01 20:23:00,223.0,82.0,2145.0,2241.0,7.0,1808.0,2248.0,280.0,0.0,Not Cancelled,0.0,208.0,265.0,176.0,1235.0,0.0,8.0,57.0,0.0,215.0,1,0,20.0,DFW-LAX
2022-01-05,DELTA AIR LINES INC.,Delta Air Lines Inc.: DL,DL,19790.0,2273.0,MSP,"Minneapolis, MN",RDU,"Raleigh/Durham, NC",1940.0,1900-01-01 19:59:00,19.0,48.0,2047.0,2345.0,7.0,2322.0,2352.0,30.0,0.0,Not Cancelled,0.0,162.0,173.0,118.0,980.0,0.0,0.0,11.0,0.0,19.0,1,2,19.0,MSP-RDU
2022-07-09,JETBLUE AIRWAYS,JetBlue Airways: B6,B6,20409.0,1447.0,HPN,"White Plains, NY",TPA,"Tampa, FL",1730.0,1900-01-01 19:21:00,111.0,26.0,1947.0,2214.0,7.0,2031.0,2221.0,110.0,0.0,Not Cancelled,0.0,181.0,180.0,147.0,1032.0,110.0,0.0,0.0,0.0,0.0,7,5,19.0,HPN-TPA
